carrera,conductor,inicio_carrera,fin_carrera,precio_total
49,Angel,2024-02-04 10:44:21,2024-02-04 11:06:22,26.42
50,Nathaly,2024-02-13 19:41:15,2024-02-13 20:02:19,25.28
51,Carolina,2024-02-27 18:39:36,2024-02-27 18:56:50,20.68
52,Carolina,2024-06-04 11:51:33,2024-06-04 12:07:50,19.54
53,Sergio,2024-05-17 16:32:50,2024-05-17 17:08:46,43.12
54,Nathaly,2024-05-03 00:17:48,2024-05-03 00:23:04,6.32
55,Angel,2024-04-11 13:19:50,2024-04-11 13:57:56,45.72
56,Sergio,2024-01-30 17:16:25,2024-01-30 17:41:40,30.3
57,Carolina,2024-03-17 05:07:48,2024-03-17 05:16:39,10.62
58,Jorge,2024-04-24 04:26:46,2024-04-24 04:37:37,13.02
59,Angel,2024-03-21 08:02:01,2024-03-21 08:21:49,23.76
60,Angel,2024-06-26 14:09:41,2024-06-26 14:45:20,42.78
61,Nathaly,2024-02-19 14:59:28,2024-02-19 15:39:10,47.64
62,Sergio,2024-04-29 19:49:59,2024-04-29 20:09:58,23.98
63,Angel,2024-02-21 12:44:37,2024-02-21 13:21:03,43.72
64,Sergio,2024-02-17 03:57:37,2024-02-17 04:03:31,7.08
65,Carolina,2024-03-15 00:18:25,2024-03-15 00:23:59,6.68
66,Nathaly,2024-05-11 02:54:37,2024-05-11 03:23:44,34.94
67,Carolina,2024-05-10 18:32:47,2024-05-10 18:47:07,17.2
68,Sergio,2024-02-28 07:52:58,2024-02-28 08:31:43,46.5
69,Angel,2024-03-10 18:30:17,2024-03-10 19:08:14,45.54
70,Carolina,2024-02-26 21:31:03,2024-02-26 22:01:07,36.08
71,Nathaly,2024-02-10 14:45:24,2024-02-10 15:03:42,21.96
72,Jorge,2024-03-15 17:41:28,2024-03-15 18:02:47,25.58
73,Angel,2024-05-08 13:12:10,2024-05-08 13:18:07,7.14
74,Carolina,2024-03-03 04:48:48,2024-03-03 04:55:39,8.22
75,Carolina,2024-01-28 22:03:09,2024-01-28 22:35:41,39.04
76,Angel,2024-03-06 05:02:01,2024-03-06 05:31:34,35.46
77,Angel,2024-03-16 19:10:08,2024-03-16 19:31:41,25.86
78,Angel,2024-04-30 12:05:49,2024-04-30 12:16:22,12.66
79,Angel,2024-02-18 05:39:54,2024-02-18 06:10:55,37.22
80,Jorge,2024-06-09 04:42:26,2024-06-09 05:14:38,38.64
81,Angel,2024-05-03 19:43:15,2024-05-03 20:13:15,36.0
82,Nathaly,2024-01-13 17:56:24,2024-01-13 18:09:18,15.48
83,Angel,2024-02-22 17:30:12,2024-02-22 18:07:07,44.3
84,Nathaly,2024-03-07 21:58:55,2024-03-07 22:14:55,19.2
85,Jorge,2024-02-14 16:57:06,2024-02-14 17:13:02,19.12
86,Sergio,2024-01-22 23:32:28,2024-01-22 23:56:25,28.74
87,Angel,2024-04-23 04:12:07,2024-04-23 04:20:38,10.22
88,Nathaly,2024-02-29 01:08:41,2024-02-29 01:41:19,39.16
89,Sergio,2024-02-04 13:59:12,2024-02-04 14:10:58,14.12
90,Jorge,2024-01-19 13:07:49,2024-01-19 13:37:40,35.82
91,Jorge,2024-02-18 12:17:57,2024-02-18 12:38:25,24.56
92,Carolina,2024-03-22 18:09:11,2024-03-22 18:28:35,23.28
93,Nathaly,2024-04-04 23:21:27,2024-04-04 23:36:02,17.5
94,Carolina,2024-02-25 21:57:52,2024-02-25 22:20:14,26.84
95,Jorge,2024-03-26 22:22:55,2024-03-26 22:46:24,28.18
96,Carolina,2024-01-21 11:41:29,2024-01-21 12:18:38,44.58
97,Jorge,2024-06-18 21:26:39,2024-06-18 22:00:39,40.8
98,Jorge,2024-04-09 13:56:44,2024-04-09 14:18:06,25.64
99,Nathaly,2024-02-27 08:41:01,2024-02-27 08:47:48,8.14
100,Angel,2024-05-31 17:03:17,2024-05-31 17:10:48,9.02
101,Sergio,2024-06-07 18:18:38,2024-06-07 18:49:31,37.06
102,Nathaly,2024-05-12 02:40:54,2024-05-12 02:58:18,20.88
103,Angel,2024-03-11 21:15:43,2024-03-11 21:25:55,12.24
104,Angel,2024-05-06 19:22:46,2024-05-06 20:01:52,46.92
105,Nathaly,2024-04-17 11:12:35,2024-04-17 11:50:02,44.94
106,Jorge,2024-06-25 17:35:01,2024-06-25 18:06:59,38.36
107,Jorge,2024-05-31 09:41:57,2024-05-31 09:47:49,7.04
108,Angel,2024-05-26 23:46:09,2024-05-26 23:52:31,7.64
109,Jorge,2024-05-21 12:50:11,2024-05-21 13:02:08,14.34
110,Sergio,2024-01-28 21:37:13,2024-01-28 21:51:17,16.88
111,Angel,2024-04-01 18:19:57,2024-04-01 18:33:32,16.3
112,Nathaly,2024-05-07 03:46:03,2024-05-07 04:20:13,41.0
113,Carolina,2024-02-15 13:54:05,2024-02-15 14:00:40,7.9
114,Sergio,2024-03-23 12:11:59,2024-03-23 12:50:42,46.46
115,Jorge,2024-02-13 12:21:41,2024-02-13 12:59:26,45.3
116,Carolina,2024-06-05 06:32:49,2024-06-05 07:04:50,38.42
117,Angel,2024-04-24 13:11:19,2024-04-24 13:37:11,31.04
118,Nathaly,2024-06-25 18:20:42,2024-06-25 18:56:19,42.74
119,Nathaly,2024-04-18 18:10:15,2024-04-18 18:22:02,14.14
120,Jorge,2024-04-04 17:07:27,2024-04-04 17:19:44,14.74
121,Carolina,2024-03-08 11:45:00,2024-03-08 12:06:11,25.42
122,Sergio,2024-05-29 00:14:00,2024-05-29 00:38:03,28.86
123,Jorge,2024-04-08 00:21:54,2024-04-08 00:34:36,15.24
124,Carolina,2024-05-08 16:18:35,2024-05-08 16:24:04,6.58
125,Angel,2024-02-01 01:48:59,2024-02-01 02:13:20,29.22
126,Angel,2024-01-15 03:07:43,2024-01-15 03:24:04,19.62
127,Angel,2024-03-11 06:22:51,2024-03-11 06:40:42,21.42
128,Angel,2024-04-11 17:10:53,2024-04-11 17:20:40,11.74
129,Jorge,2024-01-23 05:23:41,2024-01-23 05:45:28,26.14
130,Carolina,2024-05-13 23:58:36,2024-05-14 00:15:22,20.12
131,Angel,2024-02-16 22:37:29,2024-02-16 22:49:59,15.0
132,Jorge,2024-06-20 02:31:17,2024-06-20 03:09:14,45.54
133,Angel,2024-01-30 05:38:53,2024-01-30 05:47:03,9.8
134,Angel,2024-03-01 18:26:06,2024-03-01 18:50:44,29.56
135,Carolina,2024-05-29 12:16:26,2024-05-29 12:35:55,23.38
136,Angel,2024-01-23 17:35:13,2024-01-23 17:50:26,18.26
137,Nathaly,2024-04-09 07:07:39,2024-04-09 07:17:34,11.9
138,Angel,2024-04-12 06:18:02,2024-04-12 06:29:03,13.22
139,Angel,2024-05-23 09:09:52,2024-05-23 09:43:05,39.86
140,Sergio,2024-03-15 17:43:13,2024-03-15 18:23:10,47.94
141,Jorge,2024-02-03 10:53:07,2024-02-03 11:21:31,34.08
142,Sergio,2024-04-12 23:38:01,2024-04-12 23:56:00,21.58
143,Carolina,2024-04-29 00:25:14,2024-04-29 00:42:14,20.4
144,Sergio,2024-03-10 01:46:50,2024-03-10 01:53:47,8.34
145,Jorge,2024-01-18 07:02:16,2024-01-18 07:27:35,30.38
146,Jorge,2024-04-24 01:25:01,2024-04-24 01:32:03,8.44
147,Angel,2024-04-12 06:06:47,2024-04-12 06:32:23,30.72
148,Angel,2024-06-09 07:22:08,2024-06-09 07:53:12,37.28
149,Nathaly,2024-03-30 15:51:17,2024-03-30 16:08:13,20.32
150,Carolina,2024-01-09 15:00:25,2024-01-09 15:16:41,19.52
151,Angel,2024-01-16 20:00:34,2024-01-16 20:21:05,24.62
152,Carolina,2024-04-17 04:06:57,2024-04-17 04:46:05,46.96
153,Angel,2024-01-22 12:15:45,2024-01-22 12:40:59,30.28
154,Angel,2024-03-28 05:06:08,2024-03-28 05:22:04,19.12
155,Angel,2024-02-12 10:13:45,2024-02-12 10:29:18,18.66
156,Jorge,2024-06-21 21:56:38,2024-06-21 22:21:47,30.18
157,Carolina,2024-01-17 18:33:57,2024-01-17 19:09:15,42.36
158,Nathaly,2024-05-23 02:01:03,2024-05-23 02:23:20,26.74
159,Carolina,2024-05-02 22:25:59,2024-05-02 22:51:13,30.28
160,Jorge,2024-02-02 17:11:03,2024-02-02 17:38:23,32.8
161,Nathaly,2024-04-21 23:35:41,2024-04-21 23:53:17,21.12
162,Angel,2024-05-24 00:38:23,2024-05-24 01:14:22,43.18
163,Sergio,2024-02-15 09:08:25,2024-02-15 09:18:44,12.38
164,Carolina,2024-05-02 20:20:19,2024-05-02 20:30:15,11.92
165,Angel,2024-04-02 08:13:46,2024-04-02 08:31:13,20.94
166,Jorge,2024-03-28 16:44:32,2024-03-28 16:59:24,17.84
167,Angel,2024-03-02 03:52:55,2024-03-02 04:24:17,37.64
168,Carolina,2024-04-08 19:10:30,2024-04-08 19:38:26,33.52
169,Sergio,2024-06-04 06:40:25,2024-06-04 07:02:17,26.24
170,Nathaly,2024-06-25 10:49:37,2024-06-25 11:09:37,24.0
171,Angel,2024-01-18 10:31:09,2024-01-18 11:03:47,39.16
172,Jorge,2024-03-27 23:20:00,2024-03-27 23:29:19,11.18
173,Jorge,2024-02-09 10:23:12,2024-02-09 10:56:45,40.26
174,Nathaly,2024-04-10 03:23:23,2024-04-10 03:41:58,22.3
175,Carolina,2024-02-25 00:43:40,2024-02-25 00:49:05,6.5
176,Nathaly,2024-06-02 08:28:02,2024-06-02 08:45:50,21.36
177,Angel,2024-05-01 22:38:39,2024-05-01 23:02:06,28.14
178,Carolina,2024-05-16 20:17:06,2024-05-16 20:48:00,37.08
179,Angel,2024-06-17 20:31:50,2024-06-17 21:03:09,37.58
180,Angel,2024-05-29 13:27:35,2024-05-29 13:42:48,18.26
181,Angel,2024-05-19 06:11:38,2024-05-19 06:29:48,21.8
182,Carolina,2024-01-10 09:43:27,2024-01-10 10:08:15,29.76
183,Carolina,2024-04-10 06:30:44,2024-04-10 06:40:41,11.94
184,Jorge,2024-02-24 00:14:30,2024-02-24 00:21:37,8.54
185,Angel,2024-03-05 06:40:38,2024-03-05 07:07:23,32.1
186,Jorge,2024-06-25 22:27:56,2024-06-25 22:45:48,21.44
187,Angel,2024-06-14 21:32:17,2024-06-14 21:52:09,23.84
188,Sergio,2024-04-13 18:21:38,2024-04-13 18:47:45,31.34
189,Jorge,2024-04-01 13:34:09,2024-04-01 13:49:36,18.54
190,Jorge,2024-05-28 19:51:34,2024-05-28 20:16:44,30.2
191,Nathaly,2024-03-06 19:56:01,2024-03-06 20:24:04,33.66
192,Sergio,2024-04-18 11:49:25,2024-04-18 12:24:32,42.14
193,Sergio,2024-01-26 01:54:50,2024-01-26 02:24:24,35.48
194,Carolina,2024-05-08 12:10:53,2024-05-08 12:17:43,8.2
195,Nathaly,2024-04-06 03:14:57,2024-04-06 03:34:16,23.18
196,Carolina,2024-01-10 23:24:49,2024-01-10 23:33:34,10.5
197,Carolina,2024-01-14 02:55:37,2024-01-14 03:13:58,22.02
198,Nathaly,2024-06-24 17:20:33,2024-06-24 17:26:58,7.7
199,Carolina,2024-01-19 02:05:48,2024-01-19 02:29:37,28.58
200,Jorge,2024-05-31 04:30:27,2024-05-31 04:41:55,13.76
201,Angel,2024-01-31 22:08:14,2024-01-31 22:33:34,30.4
202,Jorge,2024-05-07 04:40:40,2024-05-07 05:01:01,24.42
203,Carolina,2024-03-13 03:01:16,2024-03-13 03:35:40,41.28
204,Jorge,2024-05-27 10:42:47,2024-05-27 11:16:41,40.68
205,Carolina,2024-03-19 14:00:41,2024-03-19 14:17:27,20.12
206,Angel,2024-06-13 04:39:55,2024-06-13 05:19:18,47.26
207,Sergio,2024-01-16 23:02:33,2024-01-16 23:10:56,10.06
208,Jorge,2024-04-04 09:20:25,2024-04-04 09:28:14,9.38
209,Angel,2024-04-27 16:00:07,2024-04-27 16:05:25,6.36
210,Jorge,2024-01-27 12:52:04,2024-01-27 13:20:09,33.7
211,Nathaly,2024-05-29 02:03:39,2024-05-29 02:18:05,17.32
212,Jorge,2024-06-07 19:57:53,2024-06-07 20:18:43,25.0
213,Sergio,2024-02-01 23:53:53,2024-02-02 00:26:16,38.86
214,Angel,2024-03-14 17:49:31,2024-03-14 18:18:55,35.28
215,Carolina,2024-04-10 11:04:45,2024-04-10 11:42:17,45.04
216,Jorge,2024-04-18 21:16:30,2024-04-18 21:45:38,34.96
217,Carolina,2024-02-25 18:22:31,2024-02-25 18:47:54,30.46
218,Angel,2024-05-09 05:14:18,2024-05-09 05:33:12,22.68
219,Angel,2024-06-11 22:29:58,2024-06-11 22:38:12,9.88
220,Angel,2024-01-13 01:45:11,2024-01-13 01:52:54,9.26
221,Jorge,2024-03-12 20:10:07,2024-03-12 20:16:35,7.76
222,Jorge,2024-01-18 02:01:25,2024-01-18 02:24:12,27.34
223,Nathaly,2024-06-13 06:34:34,2024-06-13 07:14:27,47.86
224,Jorge,2024-01-17 18:09:43,2024-01-17 18:47:31,45.36
225,Jorge,2024-05-16 17:12:21,2024-05-16 17:41:19,34.76
226,Nathaly,2024-06-19 19:51:34,2024-06-19 20:28:27,44.26
227,Sergio,2024-02-12 23:25:31,2024-02-12 23:53:34,33.66
228,Sergio,2024-04-30 07:42:30,2024-04-30 07:55:47,15.94
229,Nathaly,2024-03-04 18:56:49,2024-03-04 19:16:08,23.18
230,Jorge,2024-02-22 12:23:01,2024-02-22 12:39:55,20.28
231,Jorge,2024-05-20 08:49:19,2024-05-20 09:16:48,32.98
232,Jorge,2024-05-12 03:16:05,2024-05-12 03:22:29,7.68
233,Carolina,2024-06-04 05:07:15,2024-06-04 05:45:42,46.14
234,Jorge,2024-04-06 05:12:36,2024-04-06 05:48:41,43.3
235,Sergio,2024-04-02 16:02:52,2024-04-02 16:22:20,23.36
236,Jorge,2024-01-09 05:37:06,2024-01-09 05:52:15,18.18
237,Angel,2024-04-05 17:57:40,2024-04-05 18:27:28,35.76
238,Nathaly,2024-01-25 14:59:24,2024-01-25 15:06:57,9.06
239,Jorge,2024-01-29 16:48:28,2024-01-29 17:05:06,19.96
240,Angel,2024-01-14 17:41:51,2024-01-14 17:50:56,10.9
241,Jorge,2024-01-21 22:50:55,2024-01-21 23:01:23,12.56
242,Jorge,2024-01-25 10:19:48,2024-01-25 10:42:28,27.2
243,Jorge,2024-04-13 04:58:53,2024-04-13 05:10:48,14.3
244,Jorge,2024-03-20 08:26:25,2024-03-20 08:46:03,23.56
245,Carolina,2024-01-28 03:33:19,2024-01-28 04:04:13,37.08
246,Sergio,2024-03-25 22:52:40,2024-03-25 23:08:27,18.94
247,Sergio,2024-05-15 12:42:42,2024-05-15 13:02:55,24.26
248,Jorge,2024-03-06 21:43:51,2024-03-06 22:05:57,26.52
249,Sergio,2024-05-30 14:07:58,2024-05-30 14:19:09,13.42
250,Jorge,2024-06-17 05:15:04,2024-06-17 05:44:03,34.78
251,Angel,2024-04-02 08:51:18,2024-04-02 09:06:12,17.88
252,Nathaly,2024-06-23 19:32:24,2024-06-23 19:44:13,14.18
253,Carolina,2024-04-05 18:01:22,2024-04-05 18:22:43,25.62
254,Jorge,2024-01-13 21:54:23,2024-01-13 22:26:25,38.44
255,Angel,2024-06-18 15:26:02,2024-06-18 15:52:33,31.82
256,Angel,2024-02-22 11:36:32,2024-02-22 11:42:48,7.52
257,Angel,2024-05-29 06:47:15,2024-05-29 07:04:10,20.3
258,Angel,2024-02-18 00:54:13,2024-02-18 01:12:14,21.62
259,Jorge,2024-02-19 14:12:34,2024-02-19 14:39:57,32.86
260,Angel,2024-05-04 18:49:31,2024-05-04 19:05:13,18.84
261,Angel,2024-02-01 13:41:21,2024-02-01 14:15:24,40.86
262,Angel,2024-03-27 11:10:44,2024-03-27 11:41:10,36.52
263,Nathaly,2024-01-17 16:44:33,2024-01-17 16:54:52,12.38
264,Carolina,2024-06-20 22:35:12,2024-06-20 22:58:54,28.44
265,Jorge,2024-04-13 22:57:19,2024-04-13 23:35:30,45.82
266,Jorge,2024-03-01 00:41:12,2024-03-01 01:08:25,32.66
267,Nathaly,2024-03-06 05:53:38,2024-03-06 06:22:44,34.92
268,Carolina,2024-03-02 08:04:10,2024-03-02 08:19:45,18.7
269,Carolina,2024-01-08 18:36:38,2024-01-08 18:56:31,23.86
270,Carolina,2024-01-17 00:44:35,2024-01-17 00:59:45,18.2
271,Angel,2024-06-01 05:51:44,2024-06-01 06:04:41,15.54
272,Nathaly,2024-04-10 11:02:02,2024-04-10 11:13:14,13.44
273,Sergio,2024-06-12 06:48:50,2024-06-12 07:11:56,27.72
274,Jorge,2024-03-17 09:17:49,2024-03-17 09:27:33,11.68
275,Jorge,2024-06-07 19:30:31,2024-06-07 20:10:30,47.98
276,Angel,2024-01-31 04:32:50,2024-01-31 05:04:09,37.58
277,Angel,2024-03-22 16:19:05,2024-03-22 16:42:12,27.74
278,Angel,2024-02-03 17:37:55,2024-02-03 18:10:10,38.7
279,Jorge,2024-02-05 20:15:11,2024-02-05 20:28:23,15.84
280,Jorge,2024-03-16 21:43:58,2024-03-16 21:58:58,18.0
281,Angel,2024-03-01 03:32:02,2024-03-01 03:55:29,28.14
282,Jorge,2024-06-09 13:38:02,2024-06-09 14:02:52,29.8
283,Angel,2024-04-01 21:04:19,2024-04-01 21:31:54,33.1
284,Angel,2024-06-05 23:29:52,2024-06-05 23:47:01,20.58
285,Jorge,2024-03-27 17:14:45,2024-03-27 17:21:35,8.2
286,Jorge,2024-02-20 04:43:47,2024-02-20 05:09:57,31.4
287,Nathaly,2024-04-04 07:44:51,2024-04-04 08:20:47,43.12
288,Nathaly,2024-02-08 04:16:07,2024-02-08 04:39:22,27.9
289,Nathaly,2024-05-23 07:18:37,2024-05-23 07:51:59,40.04
290,Angel,2024-06-14 05:29:56,2024-06-14 06:01:04,37.36
291,Carolina,2024-06-11 22:21:02,2024-06-11 22:37:19,19.54
292,Angel,2024-05-14 12:23:25,2024-05-14 12:56:24,39.58
293,Angel,2024-02-21 16:56:19,2024-02-21 17:09:25,15.72
294,Carolina,2024-03-07 22:53:25,2024-03-07 23:25:11,38.12
295,Angel,2024-04-17 23:35:44,2024-04-18 00:01:22,30.76
296,Sergio,2024-01-11 03:08:05,2024-01-11 03:33:07,30.04
297,Sergio,2024-04-09 14:49:16,2024-04-09 15:18:10,34.68
298,Carolina,2024-06-07 04:24:08,2024-06-07 05:02:20,45.84
299,Angel,2024-06-24 02:46:08,2024-06-24 03:06:13,24.1
300,Jorge,2024-03-03 11:25:39,2024-03-03 11:36:36,13.14
301,Angel,2024-01-29 18:21:14,2024-01-29 18:50:50,35.52
302,Jorge,2024-01-24 03:58:52,2024-01-24 04:11:46,15.48
303,Angel,2024-04-18 02:35:30,2024-04-18 03:07:03,37.86
304,Jorge,2024-06-14 14:32:02,2024-06-14 14:56:24,29.24
305,Carolina,2024-02-27 18:34:34,2024-02-27 18:47:07,15.06
306,Angel,2024-05-30 00:07:04,2024-05-30 00:32:06,30.04
307,Jorge,2024-03-01 07:00:11,2024-03-01 07:28:33,34.04
308,Angel,2024-03-04 23:36:52,2024-03-04 23:52:32,18.8
309,Sergio,2024-05-29 17:41:18,2024-05-29 18:04:39,28.02
310,Jorge,2024-03-10 14:21:30,2024-03-10 14:46:18,29.76
311,Carolina,2024-03-04 04:06:04,2024-03-04 04:41:03,41.98
312,Angel,2024-02-19 03:55:57,2024-02-19 04:34:34,46.34
313,Sergio,2024-01-29 19:10:27,2024-01-29 19:48:07,45.2
314,Carolina,2024-03-30 04:57:06,2024-03-30 05:16:38,23.44
315,Angel,2024-02-29 01:29:37,2024-02-29 02:09:01,47.28
316,Angel,2024-06-06 03:04:49,2024-06-06 03:37:07,38.76
317,Carolina,2024-02-28 16:18:07,2024-02-28 16:55:25,44.76
318,Carolina,2024-01-14 07:10:15,2024-01-14 07:28:23,21.76
319,Sergio,2024-04-02 21:35:45,2024-04-02 21:49:57,17.04
320,Nathaly,2024-01-31 04:54:28,2024-01-31 05:26:08,38.0
321,Carolina,2024-02-17 10:20:13,2024-02-17 10:41:30,25.54
322,Sergio,2024-02-24 02:44:01,2024-02-24 03:10:40,31.98
323,Angel,2024-01-25 16:00:27,2024-01-25 16:18:49,22.04
324,Angel,2024-04-25 01:42:55,2024-04-25 02:04:49,26.28
325,Angel,2024-02-13 23:53:55,2024-02-14 00:11:14,20.78
326,Angel,2024-03-31 01:21:15,2024-03-31 01:38:12,20.34
327,Carolina,2024-06-11 01:08:19,2024-06-11 01:21:37,15.96
328,Jorge,2024-02-06 10:35:27,2024-02-06 11:00:05,29.56
329,Carolina,2024-03-02 02:42:42,2024-03-02 02:52:04,11.24
330,Angel,2024-03-31 00:33:36,2024-03-31 01:06:45,39.78
331,Jorge,2024-04-07 12:15:59,2024-04-07 12:24:10,9.82
332,Carolina,2024-02-26 20:58:46,2024-02-26 21:29:20,36.68
333,Carolina,2024-01-15 07:50:31,2024-01-15 08:02:15,14.08
334,Nathaly,2024-04-13 08:23:36,2024-04-13 08:59:45,43.38
335,Sergio,2024-05-16 00:19:55,2024-05-16 00:33:06,15.82
336,Angel,2024-05-19 11:16:45,2024-05-19 11:44:01,32.72
337,Angel,2024-06-09 17:38:23,2024-06-09 17:45:38,8.7
338,Sergio,2024-03-18 08:16:30,2024-03-18 08:34:52,22.04
339,Carolina,2024-01-11 04:07:32,2024-01-11 04:45:09,45.14
340,Angel,2024-04-27 05:05:08,2024-04-27 05:18:54,16.52
341,Carolina,2024-06-25 14:01:39,2024-06-25 14:40:22,46.46
342,Nathaly,2024-01-18 14:59:11,2024-01-18 15:14:31,18.4
343,Jorge,2024-02-09 04:25:19,2024-02-09 04:32:40,8.82
344,Nathaly,2024-04-18 08:05:12,2024-04-18 08:38:22,39.8
345,Jorge,2024-06-18 14:43:58,2024-06-18 14:51:48,9.4
346,Angel,2024-02-24 19:22:21,2024-02-24 19:50:40,33.98
347,Carolina,2024-03-11 06:50:54,2024-03-11 07:18:01,32.54
348,Carolina,2024-05-22 16:53:02,2024-05-22 17:05:47,15.3
349,Carolina,2024-04-06 03:39:28,2024-04-06 04:04:27,29.98
350,Sergio,2024-03-31 09:12:58,2024-03-31 09:30:04,20.52
351,Angel,2024-02-09 11:07:51,2024-02-09 11:18:29,12.76
352,Angel,2024-02-21 12:44:31,2024-02-21 12:52:50,9.98
353,Carolina,2024-02-24 11:33:34,2024-02-24 11:53:47,24.26
354,Carolina,2024-02-26 20:39:08,2024-02-26 20:47:50,10.44
355,Angel,2024-04-07 02:56:04,2024-04-07 03:12:10,19.32
356,Sergio,2024-04-27 05:38:52,2024-04-27 05:55:25,19.86
357,Nathaly,2024-03-05 17:28:11,2024-03-05 18:04:59,44.16
358,Carolina,2024-02-10 19:33:24,2024-02-10 20:00:58,33.08
359,Carolina,2024-05-14 21:20:25,2024-05-14 21:52:00,37.9
360,Jorge,2024-05-28 03:17:52,2024-05-28 03:36:48,22.72
361,Carolina,2024-02-17 00:17:23,2024-02-17 00:36:18,22.7
362,Carolina,2024-06-17 05:36:15,2024-06-17 05:59:07,27.44
363,Angel,2024-02-05 05:51:35,2024-02-05 06:22:41,37.32
364,Carolina,2024-02-15 07:57:35,2024-02-15 08:20:26,27.42
365,Carolina,2024-05-25 10:43:27,2024-05-25 11:14:39,37.44
366,Sergio,2024-04-22 14:43:41,2024-04-22 14:49:01,6.4
367,Angel,2024-05-21 23:55:53,2024-05-22 00:05:39,11.72
368,Sergio,2024-04-13 19:28:11,2024-04-13 20:05:25,44.68
369,Carolina,2024-05-10 06:39:03,2024-05-10 06:55:15,19.44
370,Angel,2024-03-05 01:40:41,2024-03-05 02:11:37,37.12
371,Carolina,2024-01-08 17:13:40,2024-01-08 17:21:33,9.46
372,Carolina,2024-05-25 18:46:40,2024-05-25 19:15:32,34.64
373,Jorge,2024-06-20 08:53:24,2024-06-20 09:32:54,47.4
374,Angel,2024-05-01 06:29:54,2024-05-01 06:58:39,34.5
375,Jorge,2024-02-15 13:47:50,2024-02-15 14:15:42,33.44
376,Jorge,2024-06-01 01:23:02,2024-06-01 01:35:24,14.84
377,Carolina,2024-02-22 22:59:51,2024-02-22 23:11:54,14.46
378,Nathaly,2024-03-08 22:16:11,2024-03-08 22:34:40,22.18
